17027,17027,시티스타,11,,"1,732,000USD ",,"87,758USD "
17028,17028,뉴시타델,12,,"385,807USD ",,"46,180USD "
17029,17029,천비성,1,,"3,084,278USD ","108,486,000원", 
17030,17030,금성세계,2,,"51,475USD ","266,742,000원", 
17031,17031,매직타이드,3,"824,725,000원", ,"242,767,000원", 
17032,17032,질주본,4,,"1,083,533USD ",,"94,795USD "
17033,17033,천둥세자,5,,"389,141USD ",,"109,202USD "
17034,17034,글로벌스톰,6,,"396,254USD ",,"2,575USD "
17035,17035,명품히어로,7,,"172,705,000JPY ","262,850,000원", 
17036,17036,티즈파이팅,8,,"254,672USD ",,"53,832USD "
17037,17037,나도야금,9,,"480,001USD ","337,208,000원", 
17038,17038,빅포켓,10,,"978,960USD ",,"8,981CAD "
17039,17039,에이맨,11,,"480,001USD ",,0
17041,17041,파이팅대디,1,,"669,260USD ",,"38,063USD "
17042,17042,드림럭키,2,,"669,260USD ","129,334,000원", 
17043,17043,라온가람,3,,"1,236,820USD ",,"184,563USD "
17044,17044,스피드가이,4,,"583,280USD ",,"389,618USD "
17045,17045,멋진가이,5,,"568,086USD ","140,481,000원", 
17046,17046,이스머스,6,,"1,037,810USD ","34,768,000원",0RUB 
17047,17047,해피스마티,7,"603,215,000원", ,,"55,542USD "
17048,17048,로열천지,8,,"493,755USD ",,0NZD 
17049,17049,럭키어필,9,,"2,421,351USD ",,"132,774USD "
17050,17050,쏘아라보아,10,,"51,475USD ","214,985,000원", 
17051,17051,크레이지선,11,,"3,084,278USD ","278,352,000원", 
17053,17053,프린세스삭스,1,,"444,717USD ",,0
17054,17054,패션드패션,2,,"583,280USD ",,"76,672USD "
17055,17055,모던베스트,3,,"389,141USD ","40,650,000원", 
17056,17056,백랑,4,,"669,260USD ",,"41,514USD "
17057,17057,세명햇살,5,,"1,810,805USD ",,0
17058,17058,이스트트로스,6,,"669,260USD ",0원, 
17059,17059,제이이글,7,,"3,084,278USD ",,0
17060,17060,햇살타고,8,,"1,103,496USD ",,"46,952USD "
17061,17061,무적장산,9,,"905,434USD ","105,401,000원", 
17062,17062,사랑다모아,10,,"221,265USD ",,"119,872USD "
17063,17063,원더풀러커스,11,,"416,475,000JPY ",,"94,563CAD "
17065,17065,에너자이저,1,,"583,280USD ","518,306,000원", 
17066,17066,온포인트,2,,"996,330USD ",,"8,177USD "
17067,17067,벌말대장,3,,"1,779,012USD ",,"19,245USD "
17068,17068,튼트나,4,,"1,570,380USD ",,"207,047USD "
17069,17069,라온비트,5,,"1,236,820USD ","184,260,000원", 
17070,17070,빅레드,6,,"3,084,278USD ",,0
17071,17071,고스트빌리지,7,,"2,232,830USD ",,"181,816USD "
17072,17072,머니강자,8,,"3,187,232USD ","118,005,000원", 
17073,17073,불화산,9,,"1,810,805USD ",,0
17074,17074,세명캡틴,10,,"254,672USD ","4,910,000원", 
17075,17075,금세다,11,,"416,475,000JPY ","69,900,000원", 
17076,17076,위닝투게더,12,,"1,779,012USD ",,"68,760USD "
17077,17077,스포트라이트,1,,"1,103,496USD ","92,242,000원", 
17078,17078,베스트스톰,2,,"389,141USD ",,"159,877USD "
17079,17079,알찬누리,3,,"172,705,000JPY ",,"300,000JPY "
17080,17080,에이스프린스,4,"410,030,000원", ,"189,800,000원", 
17081,17081,로열영광,5,,"389,141USD ","114,539,000원", 
17082,17082,베가킹,6,,"396,254USD ","1,130,000원", 
17083,17083,해찬,7,,"172,705,000JPY ","112,984,000원", 
17084,17084,킬라타스,8,,"114,300USD ",,0
17085,17085,슈퍼마스터,9,,"416,475,000JPY ",,"145,138USD "
17086,17086,환상터치,10,,"612,935USD ",,0
17087,17087,마스터선샤인,11,,"163,133USD ","40,825,000원", 
17088,17088,컴플리트샤인,12,,"804,090USD ",,"8,719USD "
17089,17089,안양호랑이,1,,"2,232,830USD ",,"83,968USD "
17090,17090,라온스페셜,2,,"1,236,820USD ",,"4,200USD "
17091,17091,케이엔매직,3,,"185,213USD ",,"58,200USD "
17092,17092,쏘아라바바,4,,"1,037,810USD ",,"170,121USD "
17093,17093,골든배지,6,,"114,300USD ",,"44,645USD "
17094,17094,깡돌이,7,,"1,810,805USD ",,"12,320USD "
17095,17095,컬러즈온리,8,,"51,475USD ","1,728,000원", 
17096,17096,비바레이디,9,,"1,103,496USD ",,"88,898USD "
17097,17097,그랜드마스터,10,,"612,935USD ",,0
17098,17098,나하프린세스,11,,"1,037,810USD ",,"30,255USD "
17099,17099,일여하여,12,,"3,187,232USD ","118,005,000원", 
17100,17100,라온다이아,1,,"1,236,820USD ",,"22,590,000JPY "
17101,17101,킹칸모르,2,,"1,810,805USD ","94,103,000원", 
17102,17102,티케이보이,3,,"1,037,810USD ","31,995,000원", 
17103,17103,빅플랜,4,,"190,838USD ","76,500,000원", 
17104,17104,런던액티브,5,,"1,779,012USD ","69,300,000원", 
17105,17105,조이오브킹,6,,"172,705,000JPY ",,"9,480USD "
17106,17106,아델머스탱,7,,"1,732,000USD ","325,130,000원", 
17107,17107,피어나다,8,,"254,672USD ",,"133,355USD "
17108,17108,황금파워,9,,"568,629,000JPY ","104,050,000원", 
17109,17109,초동로즈,10,,"1,810,805USD ","74,582,000원", 
17110,17110,원더풀댄서,11,,"617,310USD ",, 
17111,17111,방주,12,,"597,080USD ",,"130,602USD "
