,Unnamed: 0,name,ranked,fw,fd,mw,md
8122,8122,디케이별찌,9,,"853,828USD ",,0USD 
8123,8123,더트서퍼,10,,"3,307,278USD ",,"221,283USD "
8124,8124,연희일출,1,,"254,672USD ","165,950,000원", 
8125,8125,코일로,2,,"493,755USD ",,"39,200USD "
8126,8126,페더럴킹,3,,"172,705,000JPY ",,0JPY 
8127,8127,스타삭스,4,,"1,570,380USD ","137,865,000원", 
8128,8128,클린업트리오,5,,"114,300USD ",,"84,205USD "
8129,8129,기로,6,,"396,254USD ","81,118,000원", 
8130,8130,창성진주,7,,"3,545,062USD ",,0JPY 
8131,8131,베티나,9,,"210,553USD ",,"1,320USD "
8132,8132,블레싱로드,10,,"339,984USD ","167,070,000원", 
8133,8133,페이버드옵더로드,11,,"657,765USD ",,"35,280USD "
8135,8135,정상여신,1,,"51,475USD ","413,351,000원", 
8136,8136,한일매직,2,,"493,755USD ",,"6,570USD "
8137,8137,멋진금성,3,,"1,810,805USD ","266,742,000원", 
8138,8138,초오롱마,4,,"662,000USD ",,"21,569USD "
8139,8139,시티챔프,5,,"3,545,062USD ","109,402,000원", 
8140,8140,크레이지퀸,6,,"274,382USD ",,0
8141,8141,창성강자,7,,"3,545,062USD ",,"45,835USD "
8142,8142,과천히어로,8,"728,298,000원", ,"116,542,000원", 
8143,8143,불사불패,9,,"3,545,062USD ","75,612,000원","7,700AUD "
8144,8144,슈퍼빅터,10,"1,861,967,000원", ,"44,398,500원", 
8145,8145,달려라광산,12,,"274,382USD ",,0
8146,8146,대디글로리,2,,"1,334,300USD ",,"5,939USD "
8147,8147,티아고터치,3,,"2,358,270USD ",,0
8148,8148,빅이어,4,,"493,755USD ",, 
8149,8149,섬싱미스터리,5,,"274,382USD ",0원, 
8150,8150,라온시리우스,6,,"493,755USD ","113,835,000원", 
8151,8151,특별스타,7,,"578,302,000JPY ","181,834,000원", 
8152,8152,레드블레이드,8,,"1,732,000USD ",,"49,173USD "
8153,8153,아르고멜로디,9,,"193,766USD ",,0
8154,8154,킹플러키,10,,"1,610,604USD ",,"125,574USD "
8155,8155,농본대로,11,"1,225,505,000원", ,"198,155,000원", 
8156,8156,밸리퀸,2,,"491,312USD ","244,933,000원", 
8157,8157,라온한니발,3,,"274,382USD ","29,100,000원", 
8158,8158,럭키봉성,4,,"1,810,805USD ",,"14,507USD "
8159,8159,천둥여울,5,,"416,475,000JPY ","373,907,000원", 
8160,8160,블랙윈드,6,,"339,984USD ",,0
8161,8161,굴참나무숲,7,,"107,515USD ","140,481,000원", 
8162,8162,대천보우,8,,"491,312USD ","52,048,000원", 
8163,8163,미스겔라,9,,"1,083,533USD ",,"21,650USD "
8164,8164,홈커밍,10,,"1,290,734USD ",,"49,803USD "
8165,8165,위너브라운,1,,"158,713AUD ",,"165,311USD "
8166,8166,캣츠미라클,2,,"1,694,180USD ",,"4,970USD "
8167,8167,돌아온날리,3,,"301,500USD ",,244USD 
8168,8168,쾌한예봉산,5,,"1,810,805USD ",,"40,150USD "
8169,8169,더스파이커,6,,"1,065,147USD ",,"5,625USD "
8170,8170,가온퀸,7,,"1,606,000USD ",,"189,055USD "
8171,8171,골든블랙,8,,"1,139,150USD ",,0
8172,8172,적벽신화,9,,"500,435USD ",,"32,776USD "
8173,8173,신기파랑,10,,"1,159,193USD ",,"55,720USD "
8174,8174,청담제왕,1,,"3,090,101USD ",,0
8175,8175,울트라펀치,2,,"742,640USD ",,420USD 
8176,8176,신규강자,4,,"35,665USD ","145,591,000원", 
8177,8177,다이나믹질주,5,,"591,225USD ",,"184,175USD "
8178,8178,신의명령,6,,"1,810,805USD ",,0GBP 
8179,8179,화기,7,,"3,614,500USD ",,"55,960USD "
8180,8180,런닝스톰,8,,"1,810,805USD ",,"62,880USD "
8181,8181,라이언록,9,,"1,503,825USD ",,0USD 
8182,8182,플라잉뮤닝,10,,"742,640USD ",,0USD 
8183,8183,천마,11,,"698,574USD ",,"5,859USD "
8185,8185,글로벌선더,1,,"804,090USD ","60,800,000원", 
8186,8186,하이원더풀,2,,"254,672USD ","306,052,000원", 
8187,8187,운외창천,3,,"58,610USD ","109,876,000원", 
8188,8188,자이언트걸,4,,"1,083,533USD ",,330USD 
8189,8189,샤인파이터,5,,"1,570,380USD ","396,701,000원", 
8190,8190,울트라애니,6,,"51,475USD ","114,172,000원", 
8191,8191,해피플랜,7,,"190,838USD ",,0
8192,8192,원더풀매직,8,,"1,442,140USD ",,0
8193,8193,히든그레이스,9,,"1,732,000USD ",,0JPY 
8194,8194,포스윈,10,,"493,755USD ",,0
8195,8195,데리안플라이,11,,"254,672USD ",,"36,603USD "
8197,8197,큐피드허니,1,,"493,755USD ","36,160,000원", 
8198,8198,머니실크,2,,"1,083,533USD ","73,023,000원", 
8199,8199,브라보과천,3,,"3,084,278USD ",,0
8200,8200,그린마운틴,4,,"804,090USD ",,"250,000JPY "
8201,8201,경부도령,5,"2,426,805,000원", ,"177,860,000원", 
8202,8202,블랙킹,6,,"339,984USD ",,0
8203,8203,럭키가드,7,,"3,000USD ",,"17,087NZD "
