,name,ranked,fw,fd,mw,md
12582,스트롱로드,9.0,,"548,595USD ",,"31,669USD "
12583,맘보칸,10.0,,"278,406USD ","66,894,000원", 
12584,스카이베이,1.0,,"251,090USD ",,"1,410USD "
12585,엠제이파워,2.0,,"598,786USD ",,0
12586,청담제왕,3.0,,"3,090,101USD ",,0
12587,클린업특급,4.0,,"1,732,000USD ","219,695,000원", 
12588,런닝스톰,5.0,,"1,810,805USD ",,"62,880USD "
12589,신규강자,6.0,,"35,665USD ","145,591,000원", 
12590,클린업보드,7.0,,"1,575,600USD ",,800USD 
12591,커버걸저스티스,8.0,,"1,353,125USD ",,0
12592,문학조이,9.0,,"2,075,791USD ",,"61,766USD "
12593,원더풀잭팟,10.0,,"3,545,062USD ",,"250,000JPY "
12594,뉴시타델,,,"385,807USD ",,"46,180USD "
12595,옥스퍼드킹,1.0,,"1,077,140USD ",,"21,540USD "
12596,더킹블레이드,2.0,,"1,732,000USD ",,"148,430USD "
12597,에스테이크,3.0,,"1,103,496USD ",,"198,635USD "
12598,베스트타임,4.0,,"377,241USD ",,0USD 
12599,글리밍,5.0,,"583,280USD ","5,608,000원", 
12600,플라잉빅터,6.0,,"1,037,810USD ",,"12,567USD "
12601,우승환희,7.0,,"1,732,000USD ","209,258,000원", 
12602,브라이트빅터,8.0,,"770,496USD ",,"7,200USD "
12603,원더풀조이,9.0,,"2,075,791USD ",,"145,551USD "
12604,로열영광,10.0,,"389,141USD ","114,539,000원", 
12605,글로벌영웅,11.0,,"1,103,496USD ",,"127,862USD "
12606,케이엔특급,12.0,,"1,083,533USD ",,"73,410USD "
12607,슈퍼럭키보이,1.0,"2,426,805,000원", ,"119,344,000원", 
12608,록비트,2.0,,"1,570,380USD ",,"41,475USD "
12609,글로리파이터,3.0,,"326,400USD ",,"35,296USD "
12610,갑오사랑해,4.0,,"1,503,825USD ",,"76,005USD "
12611,에이스댄싱,5.0,"451,805,000원", ,,"19,456USD "
12612,고어헤드,6.0,,"583,280USD ","159,225,000원", 
12613,스프링컴,7.0,,"761,442USD ",,0
12614,금아매저스티,8.0,,"1,810,805USD ",,0
12615,케이엔여신,9.0,,"583,280USD ","101,880,000원", 
12616,어플리트마린,10.0,,"695,299USD ",,"130,150USD "
12617,해피나이스,11.0,,"1,083,533USD ","247,760,000원", 
12618,레전드윈,,,"583,280USD ","231,666,000원", 
12619,케이엔파워,1.0,,"583,280USD ",,"222,769USD "
12620,메이블루,2.0,,"1,083,533USD ","71,512,000원", 
12621,그레이스퀸,3.0,,"3,084,278USD ","94,290,000원", 
12622,퍼텐셜에너지,4.0,,"120,176USD ",,"9,860USD "
12623,퀸라이언,5.0,,"172,705,000JPY ",,"22,220,000JPY "
12624,금당나래,6.0,,"1,503,825USD ",,0
12625,이스트원,7.0,,"568,086USD ",,880USD 
12626,폴카,8.0,,"3,084,278USD ",,0
12627,브이원,9.0,,"3,084,278USD ","85,842,000원", 
12628,베스트패밀리,10.0,,"1,810,805USD ",,"57,200USD "
12629,애니선,11.0,,"1,083,533USD ","202,802,000원", 
12630,녹두장수,12.0,,"3,084,278USD ","121,078,000원", 
12631,올드블레이드,1.0,,"583,280USD ",,"17,700USD "
12632,더드림,2.0,,"1,732,000USD ",,0
12633,파워뮤직,3.0,,"1,607,774USD ",,"127,695USD "
12634,어바웃섬싱,4.0,,"51,475USD ",,0
12635,청담여걸,5.0,,"1,732,000USD ","10,520,000원", 
12636,고스트빌리지,6.0,,"2,232,830USD ",,"181,816USD "
12637,디바인파워,7.0,,"612,935USD ","18,080,000원", 
12638,선더윈드,8.0,,"114,300USD ","75,240,000원", 
12639,드림패션,9.0,,"583,280USD ","140,923,000원", 
12640,오월강자,10.0,,"210,553USD ",,0
12641,천지바람,11.0,,"1,083,533USD ","54,198,000원",36USD 
12642,보고또보고,12.0,,"583,280USD ",,"44,320USD "
12643,럭셔리캡틴,1.0,,"1,607,774USD ","39,446,000원", 
12644,스피드흑룡,2.0,,"210,553USD ",,"4,005USD "
12645,발바투,3.0,,"1,810,805USD ","28,230,000원", 
12646,싱싱장수,4.0,,"172,705,000JPY ","81,720,000원", 
12647,프리마니케,5.0,,"928,000USD ",,"72,611USD "
12648,장군의시대,6.0,"933,060,000원", ,"254,715,000원", 
12649,바람의미소,8.0,,"51,475USD ",,"25,200USD "
12650,팔라스테이,9.0,,"516,977USD ",,"117,221USD "
12651,플라잉조이,10.0,,"315,015USD ",,"281,986USD "
12652,라피도볼트,11.0,,"804,090USD ","40,825,000원", 
12653,라이언여제,1.0,"76,502,000원", ,,"20,390USD "
12654,백산선더,2.0,,"114,300USD ",,"1,700AUD "
12655,굿원더,3.0,,"1,610,604USD ","84,420,000원", 
12656,천은짱,4.0,,"3,084,278USD ",,0
12657,백학,5.0,,"210,553USD ","269,786,000원", 
12658,마샤,6.0,,"1,503,825USD ",,"118,880USD "
12659,실버디자인,7.0,,"1,810,805USD ",,"42,652USD "
12660,윈드리버,8.0,,"1,503,825USD ",,"1,100USD "
12661,송암바비,9.0,,"456,410USD ",,"66,215USD "
12662,럭키플랜,10.0,,"190,838USD ",,"15,860USD "
12663,정성스타,11.0,,"51,475USD ",,"12,567USD "
12664,에이스윈,12.0,,"3,000USD ","1,500,000원", 
12665,티즈시티,1.0,,"254,672USD ",,"160,835USD "
12666,로드란,2.0,,"1,503,825USD ","201,253,000원", 
12667,라오진,3.0,,"804,090USD ",, 
12668,장수나봄,4.0,,"583,280USD ","76,860,000원", 
12669,봄날의기억,5.0,,"51,475USD ",,"39,370USD "
12670,굿초이스,6.0,,"416,475,000JPY ",,"11,072USD "
12671,엄지여왕,7.0,,"315,015USD ",,"80,303USD "
12672,큐피드초이스,8.0,,"1,694,180USD ",,760USD 
12673,미스터히어로,9.0,,"568,629,000JPY ","272,330,000원", 
12674,청수빅이어,10.0,,"3,084,278USD ","165,950,000원", 
12675,프리티조이,11.0,,"51,475USD ",,"140,985USD "
12676,마이티뉴,1.0,,"1,092,410USD ",, 
12677,행복왕자,2.0,,"424,600USD ",,"26,734USD "
12678,화이트코멧,3.0,,"254,672USD ",,"16,200AUD "
12679,문학파이어,4.0,,"385,807USD ",,0
12680,록의제왕,5.0,,"1,031,596USD ",,161USD 
12681,그레이돌,6.0,,"601,560USD ",,0
12682,정문에이스,7.0,,"1,243,500USD ",,"234,460CAD "
12683,캐논슈터,8.0,,"922,180USD ",,"48,594USD "
12684,다비키,9.0,,"3,446,120USD ",,"221,192USD "
12685,대군피닉스,10.0,,"1,359,274USD ",,"1,640USD "
12686,보문정기,11.0,,"1,080,700USD ",,"4,200USD "
12687,문학엠파이어,1.0,,"1,985,800USD ",, 
12688,로열엘비스,2.0,,"1,606,000USD ",,"41,637USD "
12689,은어축제,3.0,,"2,283,402USD ",, 
12690,애비보컬스,4.0,,"188,432USD ",,222EUR 
12691,디케이아리아,5.0,,"751,629USD ",,"51,124USD "
12692,켄터키망치,6.0,,"1,878,013USD ",,"65,568CAD "
12693,불굴의러너,7.0,,"1,293,782USD ",, 
12694,큐피드베이브,8.0,,"674,405USD ",,0
12695,인천캡틴,9.0,,"601,560USD ",,0
12696,빅토리메신저,10.0,,0AUD ,, 
12697,레전드데이,1.0,,"748,000USD ",, 
12698,오클랜드삭스,2.0,,"952,600AUD ",, 
12699,매직페인터,3.0,,"1,101,924USD ",,"94,855USD "
12700,톱플레이,4.0,,"3,044,000USD ",, 
12701,대마불사,5.0,,"769,964USD ",,"1,151,850USD "
12702,창성수호,6.0,,"1,313,155USD ",, 
12703,거미손,7.0,,"1,636,426USD ",,"4,767USD "
12704,엘리트라인,8.0,,"662,000USD ",,"63,922USD "
12705,우귀륭,9.0,,"516,977USD ",,0
12706,논스톱리워드,10.0,,"972,632USD ",,"181,906USD "
12707,로열함성,11.0,,"2,857,049USD ",, 
12708,환한미소,12.0,,"3,044,000USD ",,"17,460USD "
12709,새내스퍼트,1.0,,"1,732,000USD ",,0
12710,맘마로마,2.0,,"1,083,533USD ","51,491,000원", 
12711,대군파워,3.0,,"922,180USD ",,0AUD 
12712,백스핀,4.0,,"568,086USD ",,"79,418USD "
12713,여울이,7.0,,"3,294,901USD ","15,449,000원",0
12714,델타브라더,8.0,,"315,015USD ",,0
12715,라온프로센스,9.0,,"1,732,000USD ","241,966,000원", 
12716,파인하트,10.0,,"163,133USD ",,620USD 
12717,청담도끼,1.0,,"1,146,340USD ",,"8,740USD "
12718,티즈플랜,2.0,,"6,427,830USD ",,"34,690USD "
