,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
20,6,7,1,,최강토마,한,수,3세,56,,안토니오,리카디,♠이기선,½,466(1),11.2,3.7,망사
21,7,8,5,,텔로스,한,암,2세,53,,하정훈,최용건,♠오종택,½,495(3),11.2,3.7,"계란형큰, 망사눈"
22,8,9,14,,보라퀸,한,암,2세,53,,김정준,박희철,윤명수,½,474(24),11.2,3.7,
23,9,10,4,,케이엔메니퀸,한,암,2세,53,,문세영,박대흥,♠조경수,코,504(2),11.2,3.7,
24,10,11,12,,미스캠프,한,암,2세,53,,이동국,임채덕,말사모,목,470(-11),11.2,3.7,"계란형큰+,망사눈+"
25,11,12,6,,금세다,한,수,2세,55,,조상범,박병일,♠배태곤,1,476(-7),11.2,3.7,"반가지큰, 망사눈"
26,12,13,3,,다모아트리플,한,수,2세,55,,박병윤,손영표,박흥길,8,486(8),11.2,3.7,
27,13,14,8,,럭셔리킹,한,수,2세,55,,박을운,김동철,♠김명식,¾,457(4),11.2,3.7,
28,0,1,3,,미르캡틴,한,수,2세,55,,하정훈,임봉춘,김은갑,,474(12),10.4,11.6,망사
29,1,2,6,,모닝뉴스,한,암,2세,53,,조상범,최용건,♠(주)나스카,4,472(10),15.6,17.3,"계란형큰, 망사"
30,2,3,9,,선더호스,한,수,2세,55,,신형철,안병기,♠(주)디알엠씨티,머리,465(-1),15.6,17.3,망사눈
31,3,4,10,,국향,한,암,2세,53,,임기원,박재우,김창만,4,477(20),15.6,17.3,망사+
32,4,5,11,,컴플리트샤인,한,암,3세,54,,박을운,조현수,♠장석영,1¾,492(1),15.6,11.6,"계란형큰, 망사"
33,5,6,5,,아이스스타,한,수,2세,55,,우에다,이관호,♠이경희,1¼,509(1),15.6,17.3,망사눈
34,6,7,8,,거센파워,한,수,2세,55,,함완식,박희철,♠강석대,½,477(-10),15.6,17.3,망사
35,7,8,7,,녹두장수,한,수,3세,56,,이동진,강성오,♠이관형,½,478(3),15.6,17.3,"계란형큰, 승인편자"
36,8,9,1,,야스,한,암,2세,53,,김정준,김윤섭,조금제,4,474(0),15.6,17.3,망사눈+
37,9,10,12,,바이킹하트,한,수,2세,55,,최범현,이신영,♠(주)디알엠씨티,1¾,454(-22),15.6,17.3,계란형큰
38,10,11,13,,고속대박,한,암,2세,53,,이기회,최영주,♠손병철,1½,440(-4),15.6,17.3,
39,11,12,2,,나하프린세스,한,암,2세,53,,이동국,임채덕,이용대,1¾,448(-1),15.6,17.3,망사눈
40,12,13,4,,비봉마루,한,암,3세,54,,김옥성,서정하,유영준,1¼,501(20),2.6,1,
41,13,14,14,,천체,한,암,2세,50,,(-4)김아현,최봉주,조금제,4,468(12),15.6,17.3,
42,0,1,2,,아침기상,한,암,2세,53,,박을운,이신영,♠(주)나스카,,478(14),11.2,2.7,
43,1,2,1,,동에번쩍,한,수,2세,55,,이동국,서인석,♠김명환,4,475(1),11.2,2.7,
44,2,3,3,,백랑,한,암,2세,53,,송재철,이관호,♠강승연,3,501(10),11.2,2.7,망사
45,3,4,5,,스포트라이트,한,수,2세,55,,김용근,송문길,♠(주)나스카,1,477(4),11.2,2.7,
46,4,5,7,,로열영광,한,수,2세,55,,부민호,박병일,이장호,5,459(15),11.2,2.7,"계란형큰, 망사눈"
