,Unnamed: 0,Unnamed: 0.1,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황,말전적
1845,114,8,9.0,4,옥룡,미,거,4세,55,40.0,조한별,강성오,이긍열,9,476(11),27.2,4.4,"계란형큰,망사눈",17(0/2/1)
1846,115,9,10.0,8,엉클벨,미,거,4세,53,45.0,(-4)김아현,이신영,♠오종택,코,499(1),39.3,6.7,,17(1/0/2)
1847,116,10,,2,엘리트라인,미,수,4세,57,45.0,다비드,이희영,♠태희종합건설,출전제외,519(4),----,----,망사,17(1/0/2)
1848,117,0,1.0,4,슈퍼삭스,미,거,6세,57,113.0,먼로,리카디,♠김창식,,506(-5),5.5,1.8,"망사,승인편자",31(11/1/4)
1849,118,1,2.0,9,위너골드,미,수,6세,57,115.0,문세영,우창구,♠전영범,¾,489(4),3.7,1.1,"Triabit ,망사",33(9/6/6)
1850,119,2,3.0,11,다크플레이어,미,수,5세,54,84.0,이현종,이관호,♠박남성,¾,451(3),19.0,3.4,망사,26(3/6/3)
1851,120,3,4.0,7,아이언삭스,미,수,4세,54,95.0,안토니오,이신영,♠김창식,목,471(1),2.4,1.6,혀보정큰,21(7/3/2)
1852,121,4,5.0,2,강토마,한,거,6세,56,110.0,장추열,정호익,♠김광명,¾,493(-11),20.8,3.9,망사눈,31(9/8/2)
1853,122,5,6.0,3,삼성불패,미,거,7세,54,99.0,조상범,이준철,♠김병진,1,499(-1),127.5,14.9,승인편자-,
1854,123,6,7.0,6,선라이팅,미,수,6세,54,97.0,부민호,서범석,이신근,2½,519(-6),24.1,5.6,망사눈,31(5/4/2)
1855,124,7,8.0,10,울트라펀치,미,거,5세,54,91.0,유승완,안병기,♠조명식,3,495(1),35.5,7.8,"계란형큰,망사눈",27(5/3/3)
1856,125,8,9.0,1,플래티넘유로,한,거,5세,54,86.0,정정희,최용건,♠박성구,1,516(-4),18.9,3.2,"계란형큰,망사눈",18(6/2/0)
1857,126,9,10.0,5,청담제왕,미,수,6세,54,94.0,하정훈,토니,♠삼정,½,515(-6),124.0,13.8,"계란형큰,눈가면+,승인편자,혀끈+,망사눈-",37(5/6/4)
1858,127,10,11.0,8,허쉬대보,한,수,5세,54,87.0,김용근,전승규,♠박철근,6,495(-1),6.9,2.5,"눈가면+,Triabit -,망사-",18(7/2/0)
1859,0,0,1.0,3,은성마루,한,암,2세,53,,김정준,박천서,은성,,467(-5),131.0,4.7,망사눈,3(1/0/1)
1860,1,1,2.0,10,블랙마스크,한,암,2세,53,,다비드,리카디,♠이강운,1½,427(-8),3.3,1.1,,4(0/3/1)
1861,2,2,3.0,8,제이피닉스,한,수,2세,55,,유승완,송문길,♠허장원,4,503(-17),1.3,1.2,,1(0/0/1)
1862,3,3,4.0,11,해피믹스,한,암,2세,53,,김동수,박병일,신기철,1,468(-13),75.3,3.0,,3(1/0/1)
1863,4,4,5.0,4,웰빙챔피언,한,암,2세,50,,(-4)김태희,서홍수,이효선,1½,471(11),87.9,12.7,,2(0/0/0)
1864,5,5,6.0,12,톱포지션,한,암,2세,53,,문세영,이관호,♠(주)디알엠씨티,½,471(-12),21.0,2.2,망사,3(0/0/1)
1865,6,6,7.0,9,원더풀섀도우,한,암,2세,53,,송재철,강환민,♠지대섭,목,455(3),101.1,5.8,"계란형큰,망사눈",3(1/0/0)
1866,7,7,8.0,7,불의신화,한,수,2세,54,,(-1)임다빈,임채덕,♠황경호,1¼,511(0),34.3,3.1,"Triabit +,망사눈+",4(0/0/0)
1867,8,8,9.0,2,너울이,한,수,2세,55,,박병윤,최봉주,민홍기,3,523(-13),37.2,3.6,망사눈,1(0/0/0)
1868,9,9,10.0,6,어메이징나우,한,수,2세,55,,박태종,박종곤,♠김정철,2½,491(-22),100.1,12.1,"망사눈,반가지큰+",1(0/0/0)
1869,10,10,11.0,5,퍼펙트타임,한,암,2세,53,,조상범,손영표,김은갑,1¼,455(-1),225.7,17.6,,3(0/0/0)
1870,11,11,12.0,1,미르파워,한,암,2세,53,,김효정,서홍수,김은갑,2,444(-1),110.2,19.7,,4(0/0/0)
1871,12,0,1.0,11,세명나래,한,암,3세,54,,김옥성,배휴준,이기철,,479(-9),16.8,3.1,"계란형큰,눈가면+,망사-",11(1/1/0)
1872,13,1,2.0,1,플렉스퀸,한,암,3세,54,,이용호,임봉춘,♠김철,1½,482(1),5.4,1.9,계란형큰,9(0/2/0)
1873,14,2,3.0,9,방탄여걸,한,암,3세,54,,하정훈,이관호,♠김태권,2,423(-2),69.6,22.1,망사,12(0/0/1)
1874,15,3,4.0,8,갈색향기,한,암,2세,53,,김동수,안병기,♠김광명,½,468(0),3.1,1.4,망사눈,6(0/1/1)
1875,16,4,5.0,12,티파니블루,한,암,3세,54,,황순도,박윤규,♠코리아호스랜드,목,537(14),20.9,5.9,망사,6(0/0/0)
1876,17,5,6.0,7,이스트매직,한,암,3세,53,,(-1)임다빈,박재우,♠김영구,목,492(1),11.8,3.0,망사눈,8(0/0/0)
