name,ranked,fw,fd,mw,md
서던맨,10,,"1,843,750USD ",,0
모닝별,11,,"695,299USD ","155,495,000원", 
칸에이스,12,"451,805,000원", ,"44,749,000원", 
금아인빈서블,1,,"1,732,000USD ",,0AUD 
킹리,2,,"172,705,000JPY ",,0
대길이,3,,"3,545,062USD ",,"181,694USD "
스타삭스,4,,"1,570,380USD ","137,865,000원", 
신의축복,5,"1,225,505,000원", ,"45,835,000원", 
대지의축복,6,,"568,086USD ","21,430,000원", 
통합시대,7,,"804,090USD ",,"22,580USD "
컨트리송,8,,"456,410USD ",,0
인디언서머,9,,"493,755USD ",,800USD 
럭셔리파워,10,,"568,629,000JPY ","213,750,000원", 
달리는에이스,11,,"568,086USD ","145,591,000원", 
러브레이스,1,,"1,732,000USD ",,0
뉴패러다임,2,,"205,617USD ","59,327,000원", 
속보옹주,3,,"568,086USD ",,"101,898USD "
프리마니케,4,,"928,000USD ",,"72,611USD "
세라여제,5,,"695,299USD ",,"22,108AUD "
그린파크,6,,"1,503,825USD ",,"14,496,000JPY "
올마이퀸,7,,"491,312USD ",,"12,003USD "
아워사이먼,8,,"274,382USD ",,"20,800AUD "
플라잉주노,9,,"568,629,000JPY ",,"18,500AUD "
베스트넘버원,10,,"568,086USD ","91,962,000원", 
화이트벨벳,1,,"1,810,805USD ",,"61,020USD "
새내빅토리,2,,"51,475USD ",,0
골드페릴라,3,,"804,090USD ","68,944,000원", 
머니샤프,4,,"456,410USD ",,0
우승마차,5,,"371,623,500JPY ","80,767,000원", 
대호천하,6,,"3,084,278USD ","99,328,000원", 
파인애플마크,7,,"1,570,380USD ",0원, 
킹오브룰즈,8,,"3,084,278USD ","306,052,000원", 
스마트파티,9,,"500,435USD ",,"216,734USD "
승리라이크,10,,"210,553USD ",,0GBP 
카이젠실버,11,,"617,310USD ",,0
포에버위너,1,,"835,142USD ","248,896,000원", 
로열프린스,2,,"1,732,000USD ",,0AUD 
골든스텝,3,,"70,961,000JPY ",,"327,311USD "
여걸비전,4,,"494,895,000JPY ","287,612,000원", 
토함산파워,5,,"163,133USD ","132,010,000원", 
해가람,6,,"1,283,145USD ","40,606,000원", 
세라칸,7,,"568,086USD ","155,619,000원", 
음악대장,8,,"133,833USD ","121,222,000원", 
헤네시댄서,9,,"1,610,604USD ",,220USD 
사려니선더,10,,"456,410USD ","42,637,000원", 
블랙윈드,11,,"339,984USD ",,0
블랙뮤직,12,,"835,142USD ","210,222,000원", 
강화총각,1,,"3,084,278USD ","163,259,200원",0
슈퍼라이트닝,2,,"1,889,766USD ",,"73,425USD "
원더풀마리아,3,,"416,475,000JPY ",,0
굿초이스,4,,"416,475,000JPY ",,"11,072USD "
내가끝판왕,5,,"568,086USD ","167,200,000원", 
루미네스,6,"470,582,000원", ,"96,601,000원", 
운주영웅,7,,"2,580,402USD ",,"46,600USD "
맹산히어로,8,,"601,560USD ",,"12,880USD "
마이티쿨,9,,"568,086USD ",,0
과천히어로,10,"728,298,000원", ,"116,542,000원", 
월드스페셜,11,,"4,471,322USD ",,"1,037USD "
금성황제,1,,"210,553USD ",,0USD 
이글스카이,2,,"396,254USD ","101,758,000원", 
리빙스턴,3,"579,356,000원", ,, 
파이널스톰,4,"451,805,000원", ,,"8,100USD "
카일룸여제,5,,"568,629,000JPY ","97,562,000원", 
금아클리프,6,,"971,269USD ",,"8,200AUD "
대천히어로,7,,"114,300USD ",,"137,366USD "
말리부진저,1,,"33,840USD ",,"99,679USD "
골든다이얼,2,,"941,936USD ",,"70,613USD "
대군의길,3,,"562,000USD ",,"73,684USD "
빅갈랜드,4,,"710,480USD ",,0AUD 
서울시대,5,,"492,910USD ",,"33,083USD "
케미블루,6,,"1,779,012USD ",,"23,200USD "
티아고터치,7,,"2,358,270USD ",,0
콜윈,8,,"633,076USD ",,"6,000USD "
청담타이거,9,,"831,335USD ",,"108,960USD "
맨해튼뮤직,10,,"6,169,800USD ",,365USD 
스피드보스,11,,"831,800USD ",,"2,762USD "
위즈레이나,12,,"1,284,949USD ",,"124,866USD "
킹메신저,1,,"480,001USD ",0원, 
남손,2,,"4,156,389USD ","85,842,000원", 
햇빛나,3,,"185,417USD ","157,894,000원", 
베스트힐,4,,"51,475USD ",,"1,700AUD "
룰오브섬,5,,"1,610,604USD ","122,439,000원", 
산토스,6,,"1,570,380USD ","115,231,000원", 
파이어볼,7,,"568,086USD ",,"1,033USD "
스마트드림,8,,"339,984USD ","135,025,000원", 
파인챔프,9,,"804,090USD ",,0
골드시나,10,,"315,015USD ","177,532,000원", 
올오브미,11,"414,605,000원",0,,"272,457USD "
동작,12,,"1,810,805USD ",,"176,400USD "
가나도라,1,,"928,000USD ",,"138,998USD "
금아킹덤,2,,"8,387,500USD ",,"17,700USD "
엘리트퀸,3,"1,225,505,000원", ,"210,222,000원", 
영스톰,4,,"315,015USD ","151,850,000원", 
피오레,5,,"3,545,062USD ",,"10,420USD "
호크아이즈,6,,"1,610,604USD ",,0
인키타투스,7,,"339,984USD ",,"54,150USD "
엠제이로드,8,"1,225,505,000원", ,"113,588,000원", 
말라카스,9,,"1,732,000USD ","423,095,000원", 
브레이브업,10,,"3,545,062USD ",,"71,118EUR "
로열복순이,11,,"1,570,380USD ",,"3,498USD "
하이유레카,12,,"185,417USD ","21,762,000원", 
천행,1,,"698,574USD ",,"11,670USD "
동방의기억,2,,"937,200AUD ",,0
삼성동행,3,,"623,000USD ",,"45,723USD "
적벽신화,4,,"500,435USD ",,"32,776USD "
추카추카,5,,"872,610USD ",,"99,995USD "
해오라비,6,,"597,080USD ",,"39,586USD "
신기파랑,7,,"1,159,193USD ",,"55,720USD "
황금들판,8,,"225,941USD ",, 
엠파이어킹덤,9,,"1,304,800USD ",,"64,278USD "
정상천마,10,,"1,037,810USD ",,0
라이언록,1,,"1,503,825USD ",,0USD 
하바나찰리,2,,"251,090USD ",,"23,330USD "
스마트파크,3,,"903,685USD ",,"108,780USD "
스피드조이,4,,"439,250USD ",,290USD 
굿헤니,5,,"1,124,820USD ",,"171,091USD "
뉴파트너,6,,"480,001USD ","34,927,000원", 
코리아정상,7,,"1,319,481USD ",,"34,917USD "
