,자식마명,부마원,부마달러,모마원,모마달러
46,['미사일퀸'],,"190,838USD ",,"17,760USD "
47,['서울달빛'],,"1,779,012USD ",, 
48,['모든날함께해'],,"254,672USD ",,0 
49,['별나라질주'],,"526,250USD ",,"44,770USD "
50,['문학워'],,"1,847,489USD ",,"137,188USD "
51,['그린필스타'],,"1,146,340USD ",,"35,560USD "
52,['더블테이크'],,"1,103,496USD ","35,150,000원", 
53,['오로라로드'],,"835,140USD ",,"9,143USD "
54,['동진최강'],,"804,090USD ","231,048,000원", 
55,['슈프림로드'],,"1,304,800USD ",,"49,600USD "
56,['패밀리타임'],,"389,141USD ","10,500,000원", 
57,['오섬스프링스'],,"4,374,590USD ",, 
58,['킹코트'],,"493,755USD ","22,837,000원", 
59,['마이윈'],"736,845,000원", ,,"165,311USD "
60,['그레이스리'],,"583,280USD ","41,250,000원", 
61,['베스퍼'],,"804,090USD ",,0 
62,['모던프라이드'],,"389,141USD ","19,400,000원", 
63,['큐피드여장부'],,"1,103,496USD ","145,591,000원", 
64,['새내선'],,"941,936USD ",, 
65,['블루해머'],,"804,090USD ",,0 
66,['제스트원'],,"339,984USD ","273,895,000원", 
67,['헤시안'],,"568,086USD ",,0 
68,['매직레코드'],,"1,103,496USD ","254,730,000원", 
69,['김천영웅'],,"1,570,380USD ","111,618,000원", 
70,['컴플리트아너'],,"274,382USD ","89,370,000원", 
71,['젊은영웅'],"2,426,805,000원", ,,"52,689USD "
72,['천문'],,"114,300USD ","19,476,000원", 
73,['은혜가득'],,"416,475,000JPY ","81,727,000원", 
74,['최강블랙'],,"905,434USD ",,"51,487,000JPY "
75,['남산러브'],,"1,519,800USD ",,"37,832USD "
76,['라이오넷'],,"794,855USD ",,"131,285USD "
77,['어나더초이스'],,"3,044,000USD ",,"16,220USD "
78,['불의여왕'],,"1,037,810USD ",,"7,400USD "
79,['지산꽃'],,"1,083,533USD ","1,200,000원", 
80,['온리의꿈'],,"114,300USD ","91,569,000원",0 
81,['최고레이스'],,"748,000USD ",, 
82,['예스아이캔'],,"905,434USD ",,0 
83,['킹심바'],,"51,475USD ",,0 
84,['베오울프'],,"3,084,278USD ",,"65,143USD "
85,['로렐파워'],,"341,396USD ",, 
86,['런런런'],,"3,084,278USD ","80,090,000원", 
