자식마명,부마원,부마달러,모마원,모마달러
완승무패,,"804,090USD ","8,200,000원", 
골드필드,,"339,984USD ",,"3,498USD "
백스핀,,"568,086USD ",,"79,418USD "
드림캠프,,"339,984USD ","122,223,000원", 
더캐스팅,,"494,895,000JPY ",,"62,774USD "
애니포스원,,"1,083,533USD ",,"105,150USD "
베스트버디,,"371,623,500JPY ","102,100,000원", 
장산플라이,,"51,475USD ",,"12,567USD "
레드블레이드,,"1,732,000USD ",,"49,173USD "
페더럴캣,,"172,705,000JPY ",,"10,948,000JPY "
클린업트리오,,"114,300USD ",,"84,205USD "
플라워로드,,"491,312USD ",,"22,580USD "
비앙카,,"1,810,805USD ",,"1,680USD "
호스캡틴,,"1,810,805USD ",,0
투어브라더,,"163,133USD ","112,060,000원", 
챔피언라이트,,"1,570,380USD ",0원, 
최강러너,,"254,672USD ",,0
프라이빗맨,,"491,312USD ",,"1,200AUD "
금빛장인,,"1,732,000USD ","148,346,000원", 
끌어주는손,,"249,760USD ","78,614,000원", 
사사,,"339,984USD ","21,156,000원","16,030USD "
정상만세,,"493,755USD ","92,266,000원", 
로열브론즈,,"396,254USD ",,0
바이칼전사,,"456,410USD ","21,156,000원","16,030USD "
피케이타임,,"617,310USD ","29,446,000원", 
블루파이어,,"493,755USD ","125,820,000원", 
그린와이,,"491,312USD ","137,120,000원", 
속보태자,,"568,086USD ","113,835,000원", 
카이젠포스,,"1,037,810USD ",,"6,110USD "
사바킹덤,,"114,300USD ",,"3,550NZD "
화기,,"3,614,500USD ",,"55,960USD "
크레이지위키,,"572,927USD ",,0AUD 
고고비,,"1,146,340USD ",,"40,820USD "
흥복드림,,"1,878,013USD ",,"34,898USD "
블루스파이더,,0AUD ,, 
굿센스,,"4,383,200USD ",,"34,970USD "
질풍강자,"728,298,000원", ,"96,320,000원", 
피닉스울프,,"1,103,050CAD ",,"1,458,198USD "
머스탱런,,"3,645,383USD ",,500USD 
굿카이로,,"562,000USD ",,"32,192USD "
위대한파이터,,"1,005,413USD ",,"14,600USD "
파티큘러퀸,,"3,924,648USD ",,"74,620USD "
럭키봉성,,"1,810,805USD ",,"14,507USD "
안목항,,"396,254USD ","82,258,000원", 
타이밍굿,,"3,084,278USD ","45,956,000원", 
셋더페이스,,"172,705,000JPY ",,0
위너크라운,,"493,755USD ",,"8,014USD "
조이오브킹,,"172,705,000JPY ",,"9,480USD "
배다리서미트,,"494,895,000JPY ","145,767,000원", 
메니타운십,,"1,732,000USD ",,0
큐피드여왕,,"114,300USD ",,"78,976USD "
원더풀댄서,,"617,310USD ",, 
정조의꿈,,"114,300USD ",,880USD 
글로벌골드,,"114,300USD ",,0
러브위드미,,"1,083,533USD ","156,911,000원", 
트루,"414,605,000원",0,"119,930,000원", 
허리케인삭스,,"583,280USD ",,"1,489USD "
원지,,"4,941,513USD ",,"148,914USD "
최강특급,,"254,672USD ",,"31,200USD "
라피도아레스,"76,502,000원", ,,"50,050USD "
라이드럭키,,"339,984USD ",,"4,300,000JPY "
큐피드허니,,"493,755USD ","36,160,000원", 
더퀸제이,,"1,732,000USD ",,"3,535USD "
파이널에이스,,"1,570,380USD ","45,240,000원", 
블루타이거,,"339,984USD ",,800AUD 
진동,,"493,755USD ",,"186,539USD "
우승각,,"2,075,791USD ",,"11,936USD "
킹칸모르,,"1,810,805USD ","94,103,000원", 
가온찬,,"996,330USD ",,"1,470USD "
안양옥센,,"1,177,394USD ",, 
다이아키,"817,614,000원", ,"74,250,000원", 
달리는꿈,,"172,705,000JPY ","84,526,000원", 
카일룸제왕,,"1,857,000USD ",,"43,148USD "
비바아마도스,,"521,040USD ",,"1,710USD "
퍼스트드림,,"915,075USD ",,"168,089USD "
로드반,,"33,840USD ",, 
메이저알파,,"315,015USD ","240,493,000원", 
토함에이스,,"1,503,825USD ","32,150,000원", 
킹스턴하버,,"51,475USD ","137,865,000원", 
캡틴포스,,"3,084,278USD ",,"2,500USD "
엑톤블레이드,,"1,503,825USD ",,"175,695USD "
머니시장,,"3,084,278USD ","67,895,000원", 
원앤온리,,"1,810,805USD ",,"11,100USD "
스피드댄서,,"1,732,000USD ",,"65,375USD "
임페리얼실크,,"493,755USD ","146,135,000원", 
엘리트어게인,,"695,299USD ","201,360,000원", 
선더소니아,,"1,732,000USD ","155,225,000원", 
로드로즈,,"51,475USD ","159,250,000원", 
클린업벨라,,"1,243,500USD ",,"51,051USD "
월드캡틴,,"2,690,600USD ",,"26,491USD "
버스커뮤직,,"557,022USD ",,"43,130USD "
문학드림,,"794,855USD ",,"137,513USD "
금빛여왕,,"1,380,200USD ",,"10,658USD "
아이언삭스,,"2,283,402USD ",,0
에이피파텍,,"4,941,513USD ","277,074,000원", 
마크스토리,,"459,300USD ",,"227,350USD "
풀부스터,,"1,694,180USD ",,0
문학미스치프,,"597,080USD ",,0
명진스톰,,"1,031,596USD ",,0
나는스타,,"3,307,278USD ",,0
디케이아리아,,"751,629USD ",,"51,124USD "
사랑댄서,,"148,815USD ",,"45,909USD "
에이스파워풀,,"1,247,544USD ",,"20,070USD "
위너챔프,,"1,851,803USD ",,"16,487USD "
고업,,"254,672USD ",,0
그레이돌,,"601,560USD ",,0
히든삭스,,"224,684USD ",, 
로드블랙,,"3,924,648USD ",,640USD 
위시미,,"1,503,825USD ",,"90,330USD "
에이투제트,,"3,084,278USD ","485,085,000원", 
전정사금,,"254,672USD ",,"5,170USD "
참일호,,"254,672USD ","135,040,000원",0
골디락스,,"3,545,062USD ","190,561,000원", 
원더케이,,"114,300USD ",,0
코레미카바요,,"439,250USD ",,"16,579USD "
헬로비너스,,"3,545,062USD ","146,148,000원", 
브라운파이,,"1,083,533USD ",,"138,998USD "
철비,,"396,254USD ","87,410,000원", 
원더풀라이언,,"3,084,278USD ",,"112,985USD "
닥터선더,,"114,300USD ",,"329,217USD "
영천더비,,"114,300USD ",,"41,927USD "
광야시대,"409,030,000원", ,"17,025,000원", 
알파독,,"3,084,278USD ","4,347,000원", 
바벨,,"583,280USD ",,"181,694USD "
슈퍼마스터,,"416,475,000JPY ",,"145,138USD "
슈퍼파크,,"1,503,825USD ",,"131,871USD "
발바투,,"1,810,805USD ","28,230,000원", 
천지바람,,"1,083,533USD ","54,198,000원",36USD 
질주의꿈,,"832,744USD ",,"4,690USD "
넘버원타깃,,"1,810,805USD ",,760USD 
네버워크얼론,,"565,716USD ",,"38,063USD "
스프링컴,,"761,442USD ",,0
라온빅맨,,"1,236,820USD ",,0
라스트매직,,"47,460AUD ","2,770,000원", 
록하드스카이,,"1,570,380USD ",,"36,603USD "
캡틴불릿,,"944,900USD ",,"720,046USD "
템플야라,,"326,400USD ",,"398,390USD "
맥스대로,"2,426,805,000원", ,"67,044,000원", 
고속주행,,"1,083,533USD ",,"88,898USD "
아라록밴드,,"1,810,805USD ","138,609,000원", 
세렌디피티야,,"296,731USD ",,"38,710USD "
하이원더풀,,"254,672USD ","306,052,000원", 
운외창천,,"58,610USD ","109,876,000원", 
해피플랜,,"190,838USD ",,0
원더풀매직,,"1,442,140USD ",,0
히든그레이스,,"1,732,000USD ",,0JPY 
포스윈,,"493,755USD ",,0
데리안플라이,,"254,672USD ",,"36,603USD "
알찬누리,,"172,705,000JPY ",,"300,000JPY "
그린마운틴,,"804,090USD ",,"250,000JPY "
블랙킹,,"339,984USD ",,0
럭키가드,,"3,000USD ",,"17,087NZD "
샤인뮤직,,"32,400USD ",,"17,802USD "
원퍼트,,"339,984USD ","111,618,000원", 
피엔에스보라,,"578,302,000JPY ","179,419,000원", 
루이사,,"172,705,000JPY ","697,416,000원", 
짱돌,"180,943,000원", ,"50,960,000원", 
수호륭,,"58,610USD ","7,050,000원", 
본투빅토리,,"1,570,380USD ",,"42,690USD "
문학엠파이어,,"1,985,800USD ",, 
문학퀸,,"6,427,830USD ",,"171,768USD "
마하걸,,"4,157,865USD ",,0JPY 
마이티씽,,"978,960USD ",,"66,020USD "
화씨벽,,"3,084,278USD ","110,623,000원", 
회복,,"339,984USD ",,"13,280USD "
미르스카이,,"172,705,000JPY ",,"216,734USD "
스타러시,,"2,494,490USD ",,"24,581USD "
가로수길,,"493,755USD ","32,418,000원", 
마음의준비,,"695,299USD ","34,620,000원", 
팰리스퀸,,"1,586,550USD ",,0
극기상진,,"865,612USD ",,0
땡큐대천,,"491,312USD ",,"22,580USD "
스피드버드,,"565,716USD ",,"539,329USD "
나의전설,,"583,280USD ","363,840,000원", 
조이브라더,,"3,084,278USD ","368,522,000원", 
마이멤버,,"491,312USD ","116,080,000원", 
왕인행차,,"339,984USD ",,"182,974USD "
서울데이,,"493,755USD ",,0
구름바다,,"761,442USD ",,"69,294USD "
새내폭주,,"1,083,533USD ",,0
금아애자일,,"3,090,101USD ",,"3,750USD "
오렌지삭스,"451,805,000원", ,,880USD 
매지컬초이스,,"3,645,383USD ",,"83,550USD "
클린업특급,,"1,732,000USD ","219,695,000원", 
대일신화,,"1,037,810USD ",,"23,466USD "
왕벚꽃,,"1,694,180USD ",,"376,924USD "
글로리파이터,,"326,400USD ",,"35,296USD "
드림걸스,,"1,810,805USD ","100,200,000원", 
그레이트칸,,"1,732,000USD ",,"4,070USD "
하이퍼카,"817,614,000원", ,"34,580,000원", 
어메이징위즈,,"1,570,380USD ","1,200,000원", 
어바웃섬싱,,"51,475USD ",,0
아이스펀치,,"1,810,805USD ",,0
라온하이,,"1,236,820USD ","208,076,000원", 
청담여걸,,"1,732,000USD ","10,520,000원", 
드림패션,,"583,280USD ","140,923,000원", 
미스엘리트,,"3,084,278USD ",,"131,070USD "
녹리총,,"114,300USD ","97,562,000원", 
안양호랑이,,"2,232,830USD ",,"83,968USD "
런던보스,"392,700,000원", ,"22,904,000원", 
퍼텐셜에너지,,"120,176USD ",,"9,860USD "
하이천둥,,"3,187,232USD ","274,440,000원", 
심플리파이,,"51,475USD ",,0
레이디켈리,,"612,935USD ","90,960,000원",0
윈드힐,,"51,475USD ",,616USD 
나의신화,,"583,280USD ","113,350,000원", 
농본락,,"1,083,533USD ","137,240,000원", 
가자플랜,,"190,838USD ",,0
그랜드플라이,,"254,672USD ","38,151,000원", 
장산몬스터,,"1,101,924USD ",,"2,020USD "
트리플킹덤,,"532,122USD ",,"49,450USD "
멋진데,,"1,039,000USD ",,"48,670USD "
스마트스트롱,,"1,994,460USD ",,"34,350USD "
베스트군주,,"442,500USD ",,"159,877USD "
뉴욕망치,,"1,146,340USD ",,"40,958USD "
언브레이커블,,"51,475USD ",,"34,878USD "
스페셜모닝,,"1,607,774USD ",,0
스카이여신,,"172,705,000JPY ","7,000,000원", 
우아륭,,"416,475,000JPY ","288,270,000원", 
카빙크로스,,"3,084,278USD ","41,484,000원", 
하루온,,"210,553USD ","106,041,000원", 
섀도우퀸,,"1,570,380USD ","95,420,000원", 
하나미치,,"491,312USD ","206,263,000원", 
어마어마,,"301,500USD ",,"148,250USD "
루킹퍼스트,,"386,465USD ",,"81,585USD "
돌아온불패,,"1,026,229USD ",, 
배다리프린스,,"1,243,500USD ",,"98,560USD "
문학스카이,,"633,076USD ",,"59,722USD "
스프링킹,,"1,146,340USD ",, 
선붐,,"1,857,000USD ",,"12,270EUR "
대디코잔,,"49,200USD ",, 
섬싱익스펙트,,"4,368,214USD ",,0
빅플랜,,"190,838USD ","76,500,000원", 
소중한골든,,"480,001USD ","49,601,000원", 
알짜,,"4,941,513USD ","206,403,000원", 
비봉마루,,"493,755USD ",,"41,639USD "
파라다이스퀸,,"1,570,380USD ",,0GBP 
금성스타,,"205,617USD ","21,920,000원", 
왕탱이,,"1,607,774USD ","101,758,000원", 
톱시드,,"2,054,434USD ",,0
정문프린스,,"491,312USD ",,0
실버윈,,"3,545,062USD ",,"38,018,000JPY "
다비키,,"3,446,120USD ",,"221,192USD "
클린업샤인,,"152,440USD ",,"121,880USD "
사려니위너,,"687,967USD ",,"114,800USD "
빅투더빅,,"1,065,147USD ",,"34,760USD "
판타스틱,,"972,632USD ",,0
크레이지델타,,"1,985,800USD ",,"17,917USD "
올백,,"1,810,805USD ",,400CAD 
더킹클래스,,"493,755USD ",,"128,210USD "
선더케이,,"339,984USD ","41,281,000원", 
금성에이스,,"51,475USD ","259,050,000원", 
마칼루퀸,,"1,732,000USD ",,"20,650USD "
갑오사랑해,,"1,503,825USD ",,"76,005USD "
글로벌선,,"1,810,805USD ",0원, 
금성차밍,,"1,570,380USD ","169,115,000원", 
런던히트,,"1,503,825USD ",,"109,780USD "
월영이,,"493,755USD ",,"6,459USD "
태산특급,,"3,084,278USD ","173,820,000원", 
글로벌왕자,,"51,475USD ",,"32,215USD "
마스터퓨처,,"1,083,533USD ","77,120,000원", 
화이트스톤,,"70,961,000JPY ","24,332,000원", 
캡틴브라보,,"1,146,340USD ",,0
발레리나,,"1,503,825USD ",,0
보고또보고,,"583,280USD ",,"44,320USD "
스마트시티,,"1,083,533USD ","51,491,000원", 
쿠레나이원,,"3,545,062USD ",,0
정상킹덤,,"3,307,278USD ",,"53,813CAD "
모닝타이거,,"2,281,645USD ",, 
베스트스톰,,"389,141USD ",,"159,877USD "
런던의러닝,,"3,187,232USD ","87,475,000원", 
탑기,,"1,083,533USD ","138,640,000원",0
본투글로리,,"491,312USD ",,"78,783USD "
에이스함성,,"612,935USD ",,"29,760USD "
스페셜스토리,,"695,299USD ","133,790,000원", 
다이아킬러,,"254,672USD ",,431USD 
플라잉캔디,,"944,900USD ",,422USD 
정상처럼,,"3,044,000USD ",,"98,636USD "
가온매직,,"2,202,887USD ",,"189,055USD "
러블리헬멧,,"1,636,426USD ",, 
럭키석포,,"1,810,805USD ","254,715,000원", 
리얼팩,,"804,090USD ",,"36,360USD "
드림포레,,"3,090,101USD ",,"24,870USD "
흥캡틴,,"51,475USD ","235,154,000원", 
빅페이스,,"274,382USD ",,"16,290USD "
골든스위치,,0AUD ,,"33,455USD "
월드특급,"76,502,000원", ,"272,330,000원", 
율소리,,"996,330USD ",,782USD 
플래시라이커,,"274,382USD ",,"268,051USD "
아테나브이,"76,502,000원", ,"325,130,000원", 
메니스톰,,"612,935USD ","71,085,000원",0
프라우들리,,"1,064,727USD ",,0
은혜파도,,"254,672USD ",,0
라온스페셜,,"1,236,820USD ",,"4,200USD "
마이티붐,,"251,090USD ",,"1,410USD "
신의열매,,"3,647,000USD ",,"7,980USD "
티즈블랙,,"804,090USD ",,"1,402USD "
서울크라운,,"568,086USD ",,0
청담컬링,,"58,610USD ","11,500,000원", 
레이디대로,"2,426,805,000원", ,"92,242,000원", 
용마루구,,"172,705,000JPY ",,0
애니티즈,,"254,672USD ",,"209,945USD "
브이원,,"3,084,278USD ","85,842,000원", 
레이디럭키,,"1,083,533USD ","52,281,000원", 
미사일감동,,"3,187,232USD ",,"17,760USD "
에이스레전드,,"2,435,343USD ",,"1,480USD "
롱가이,,"51,475USD ",,"2,200AUD "
코리안펄,"2,426,805,000원", ,"41,230,000원", 
고웰,,"612,935USD ","59,667,000원", 
티즈시티,,"254,672USD ",,"160,835USD "
키스인더파크,,"1,503,825USD ",,"3,310USD "
스피드고,,"172,705,000JPY ","105,693,000원", 
유롱스타,,"1,732,000USD ",,0
러빙댄서,,"1,236,820USD ",,"28,015USD "
럭키위크,,"1,083,533USD ","162,170,000원", 
에이스천하,,"172,705,000JPY ","67,190,000원", 
야호뷰티풀캣,,"1,083,533USD ","229,295,000원", 
그린사이,,"274,382USD ",,0
인기열매,,"3,647,000USD ",,"3,320USD "
파워뮤직,,"1,607,774USD ",,"127,695USD "
로럴케이,,"1,177,394USD ",,0
문학번개,,"1,994,460USD ",,"95,060USD "
매직플랜,,"190,838USD ",,"55,542USD "
올드블레이드,,"583,280USD ",,"17,700USD "
킬라타스,,"114,300USD ",,0
럭키불패,,"274,382USD ",,0
역전의킹,,"3,000USD ","26,366,000원", 
킹에이스,,"416,475,000JPY ","29,446,000원", 
위너케이,"728,298,000원", ,"96,320,000원", 
로열엘비스,,"1,606,000USD ",,"41,637USD "
오케이짱,,"1,570,380USD ","2,600,000원", 
청수라이더,,"612,935USD ","43,400,000원", 
금아로버스트,,"1,503,825USD ","65,000,000원", 
시베리아,,"493,755USD ","50,583,000원", 
버닝포인트,"1,861,967,000원", ,"24,493,000원", 
백두와한라,,"583,280USD ",,"61,640USD "
워리어선더,,"114,300USD ",,0
새남의별,,"1,810,805USD ","13,617,000원", 
오버어치브,,"210,553USD ","21,150,000원", 
스트리트강자,"728,298,000원", ,"53,200,000원", 
바비블레이드,,"1,857,000USD ",,220USD 
피엔에스니드,,"210,553USD ","21,156,000원","16,030USD "
초원의기적,,"3,084,278USD ","520,022,000원", 
세명강자,,"1,503,825USD ",,"80,662USD "
새내아이린,,"1,031,596USD ",,"101,942USD "
내길의축복,,"339,984USD ","140,176,000원", 
초동럭키,,"770,496USD ",,"62,426USD "
선더윈드,,"114,300USD ","75,240,000원", 
와일드코리아,,"32,400USD ",, 
티케파이어,"1,087,822,000원", ,,"1,100USD "
파란왕자,,"612,935USD ",,0
장나들이,,"494,895,000JPY ",,"29,241USD "
오칼라매직제제이,,"25,341USD ",,0
파인하트,,"163,133USD ",,620USD 
그린챔프,,"1,083,533USD ",,"54,385USD "
베스트투어,,"3,000USD ","112,060,000원", 
퀸라이언,,"172,705,000JPY ",,"22,220,000JPY "
금당나래,,"1,503,825USD ",,0
피엔에스굿,"233,137,000원", ,"51,400,000원", 
어드밴스,,"1,694,180USD ",,0
세명룰즈,,"3,084,278USD ",,"6,726USD "
대지의여인,,"274,382USD ",,"17,838USD "
오피서커맨딩,,"804,090USD ",,0
장산바다,,"583,280USD ","58,130,000원", 
사람이라는별,,"1,570,380USD ",,"68,760USD "
글로벌삭스,,"742,640USD ",, 
록의제왕,,"1,031,596USD ",,161USD 
매직페인터,,"1,101,924USD ",,"94,855USD "
쿠레레쿠스,,"1,570,380USD ",,0AUD 
베스트포스,,"1,083,533USD ",,"15,820USD "
로즈데이마린,,"114,300USD ","99,328,000원", 
폴카,,"3,084,278USD ",,0
힐링공주,,"583,280USD ","215,540,000원", 
튼트나,,"1,570,380USD ",,"207,047USD "
사려니퀸,,"612,935USD ","92,494,000원", 
조지퀸,,"1,236,820USD ",,"120,585USD "
굿바우,,"491,312USD ",0원, 
커리어하이,,"1,083,533USD ",,"137,366USD "
그레이스퀸,,"3,084,278USD ","94,290,000원", 
케이엔파워,,"583,280USD ",,"222,769USD "
프라임서밋,,"493,755USD ","240,493,000원", 
막판찬스,,"114,300USD ",0원, 
거버넌스,,"1,083,533USD ",,0
스마트굿,,"210,553USD ","79,134,000원", 
퍼스트파워,,"493,755USD ","225,885,000원", 
장산사수대,,"3,084,278USD ",,"135,262USD "
위즈모멘트,,"1,732,000USD ",,"17,980USD "
최고캠프,,"493,755USD ","82,258,000원", 
베스트실버,,"583,280USD ",,"1,605USD "
위너콰드릴,,"410,376,000JPY ",, 
디바인파워,,"612,935USD ","18,080,000원", 
챌린지삭스,,"583,280USD ",,"281,986USD "
빅포스원,,"695,299USD ",,"35,680USD "
가나파크,,"612,935USD ",, 
컴플리트샤인,,"804,090USD ",,"8,719USD "
포에버원,,"612,935USD ","23,400,000원", 
스타트매직,,"190,838USD ",,0
천지부사,,"51,475USD ",,0
서니케이,,"804,090USD ","152,718,000원", 
그린트리서밋,,"1,607,774USD ","46,464,000원", 
이스트라이크,,"1,732,000USD ","358,828,000원", 
에이스스피닝,,"260,300USD ",,"189,416USD "
포트스원,,"1,083,533USD ","30,450,000원", 
옥스퍼드킹,,"1,077,140USD ",,"21,540USD "
블랙참,,"416,475,000JPY ","648,176,000원", 
황금파워,,"568,629,000JPY ","104,050,000원", 
나인아이,,"1,732,000USD ",,"13,507,000JPY "
정문짱,,"1,810,805USD ",,0
퀸오브베스트,,"905,434USD ",0원, 
흥드림,,"416,475,000JPY ","16,800,000원", 
지금여기에,,"1,779,012USD ","539,152,000원", 
월드메니피,,"1,732,000USD ","85,690,000원", 
리턴밸리브리,,"416,475,000JPY ","256,236,000원", 
챔피언가문,,"254,672USD ","438,663,000원", 
원더풀스톰,,"1,732,000USD ",,"210,188USD "
록비트,,"1,570,380USD ",,"41,475USD "
어플리트마린,,"695,299USD ",,"130,150USD "
베스트패밀리,,"1,810,805USD ",,"57,200USD "
미소가득,,"339,984USD ",,"121,476USD "
아로마,,"210,553USD ",0원, 
골든배지,,"114,300USD ",,"44,645USD "
해피나이스,,"1,083,533USD ","247,760,000원", 
햇빛향기,,"3,084,278USD ","197,810,000원", 
히트하트,,"339,984USD ","118,653,000원", 
럭셔리골드,,"3,084,278USD ",,"53,849USD "
시크릿걸,,"205,617USD ","49,665,000원", 
미스터원더풀,,"254,672USD ",,"53,919USD "
마이티뉴,,"1,092,410USD ",, 
거미손,,"1,636,426USD ",,"4,767USD "
에코빅터,,"794,855USD ",,"53,059USD "
삼단가속,,"529,566USD ",,0
창성히트,,"377,066USD ",, 
장산골드,,"3,044,000USD ",,"83,550USD "
매직알리바바,,"492,430USD ",,"2,240EUR "
흥애디,,"844,919USD ",,0
문학앙코르,,"738,843USD ",,"61,766USD "
장산럭키,,"794,855USD ",,"237,940USD "
인천보스,,"794,855USD ",,"6,120USD "
비무량,,"2,765,800USD ",,0
록하드세븐,,"1,570,380USD ",,"2,500USD "
트리플나인,,"1,503,825USD ",,0USD 
월드파워,,"1,889,766USD ",,"85,924USD "
보문정기,,"1,080,700USD ",,"4,200USD "
핵삭스,,"1,810,805USD ",,"39,894CAD "
천상의여인,,"339,984USD ","177,507,000원", 
데카브리스트,,"51,475USD ",,"79,688USD "
르루아블랑,,"339,984USD ","231,048,000원", 
금백조,,"1,570,380USD ",,"24,008USD "
모닝동자,"392,700,000원", ,,0
마칼루파워,"130,428,000원", ,"69,936,000원", 
하트제니,,"339,984USD ","23,940,000원", 
초원블루,,"396,254USD ","89,420,000원", 
배다리캔디,,"1,659,560USD ",,"98,081USD "
크라운조이,,"1,607,774USD ","138,984,000원", 
땡벌,,"1,570,380USD ","90,138,000원", 
쏘아라바바,,"1,037,810USD ",,"170,121USD "
스톰로드,,"835,140USD ",0원, 
그린최강,,"1,103,496USD ",,"62,634USD "
파이팅걸,,"583,280USD ",,0
소우주,,"389,141USD ","194,980,000원", 
좋은사이,,"416,475,000JPY ","80,230,000원", 
다이아하트,,"493,755USD ","133,470,000원", 
영광의미소,,"1,810,805USD ","62,770,000원", 
라온패션,,"583,280USD ",,"184,563USD "
독도사랑,,"51,475USD ",,0
라이드맨,,"1,570,380USD ",,0
피어나다,,"254,672USD ",,"133,355USD "
무쌍황후,,"996,330USD ",,"226,990USD "
사이먼스톰,,"274,382USD ",,"37,670USD "
제니퀸,"451,805,000원", ,, 
슈퍼럭키보이,"2,426,805,000원", ,"119,344,000원", 
장산파크,,"1,503,825USD ",,"94,342USD "
천둥기세,,"1,083,533USD ",,"62,880USD "
리틀미스,,"1,503,825USD ",,0
흥과기쁨,,"185,213USD ",,0
창성수호,,"1,313,155USD ",, 
라이드머니,,"1,857,000USD ",,"8,470USD "
그린볼트,,"51,475USD ",,0
터치마이아델,,"51,475USD ",,0
소모에이스,"1,220,375,000원", ,"155,200,000원", 
마하승리,,"278,406USD ","78,368,000원", 
문학파로아,,"8,650,300USD ",,0
문학젠야타,,"1,182,992USD ",,0
피노시스터,,"2,612,516USD ",,0
흥바라기,,"583,280USD ","41,800,000원", 
티케이보이,,"1,037,810USD ","31,995,000원", 
고고스타,,"1,037,810USD ",,"34,444USD "
질주대로,"2,426,805,000원", ,"136,676,000원", 
천마투데이,,"1,732,000USD ",,850AUD 
럭키클럽,,"274,382USD ","87,410,000원", 
메인오브킹,,"339,984USD ",,"2,500USD "
모스트스피드,,"172,705,000JPY ","105,693,000원", 
피엔에스곧감,,"578,302,000JPY ","88,771,000원", 
정문라이언,,"612,935USD ","2,106,000원", 
과천신세계,,"617,310USD ","223,267,000원", 
파이어하트,,"1,503,825USD ",,"165,311USD "
비뢰킹,,"1,083,533USD ","35,943,000원", 
마성혼신,,"480,001USD ",,0
꿈가득,,"1,083,533USD ","120,762,000원", 
신데렐라,,"190,838USD ",,"3,360USD "
새록새록,,"1,236,820USD ","141,810,000원", 
효마루,,"1,236,820USD ",,"41,280USD "
원더풀파워,,"254,672USD ",,700USD 
그린스카이,,"339,984USD ","127,806,000원", 
오월강자,,"210,553USD ",,0
톱플레이,,"3,044,000USD ",, 
흥록대부,,"301,500USD ",, 
메니스퍼트,,"1,732,000USD ","57,315,000원", 
발리스타,,"274,382USD ",,400CAD 
대승가온,,"51,475USD ","6,000,000원", 
마칼루스타,,"210,553USD ",,"45,754USD "
성실머니,,"941,936USD ",,"103,395USD "
장산포에버,,"430,400USD ",,"26,730USD "
마루캐슬,"76,502,000원", ,"77,630,000원", 
베스트룰즈,,"3,084,278USD ","24,493,000원", 
올어게인,,"210,553USD ","7,480,000원", 
울트라시대,,"1,103,496USD ",,"1,140USD "
아델머스탱,,"1,732,000USD ","325,130,000원", 
럭키월드,,"1,810,805USD ","196,259,000원", 
그린짱,,"1,810,805USD ",,"544,019USD "
좋은관계,,"1,236,820USD ","157,452,000원", 
크레이지탱크,,"529,566USD ",,"44,424USD "
스카이홀드,,"185,213USD ",,"4,650USD "
청담탱크,,"1,503,825USD ",,"175,695USD "
사만다치타,,"389,141USD ",,"16,285USD "
슈퍼챔피언,,"1,810,805USD ",,"17,886USD "
제이호크,,"1,037,810USD ","210,490,000원", 
영웅대마,,"172,705,000JPY ","66,436,000원", 
올하트,,"3,084,278USD ",,"198,994USD "
금빛여전사,,"3,084,278USD ","98,230,000원", 
새내황제,,"1,810,805USD ","226,930,000원", 
삼상,,"1,103,496USD ",,"17,358USD "
윈디러시,,"804,090USD ","74,582,000원", 
코브라볼,,"339,984USD ","125,820,000원", 
그린폭주,,"583,280USD ","50,800,000원", 
제다이,,"1,037,810USD ","51,200,000원", 
바이스로이,,"583,280USD ","195,970,000원", 
큐피드포인트,,"669,260USD ",,"13,526USD "
걸작우먼,,"1,236,820USD ","55,652,000원", 
라온더타이거,,"1,083,533USD ",,0
선더호스,,"416,475,000JPY ",, 
피이자드,,"578,302,000JPY ","51,400,000원", 
슈퍼제니,,"249,760USD ","77,538,000원", 
더킹블레이드,,"1,732,000USD ",,"148,430USD "
에스테이크,,"1,103,496USD ",,"198,635USD "
베스트타임,,"377,241USD ",,0USD 
글리밍,,"583,280USD ","5,608,000원", 
플라잉빅터,,"1,037,810USD ",,"12,567USD "
우승환희,,"1,732,000USD ","209,258,000원", 
브라이트빅터,,"770,496USD ",,"7,200USD "
원더풀조이,,"2,075,791USD ",,"145,551USD "
로열영광,,"389,141USD ","114,539,000원", 
글로벌영웅,,"1,103,496USD ",,"127,862USD "
케이엔특급,,"1,083,533USD ",,"73,410USD "
에이스댄싱,"451,805,000원", ,,"19,456USD "
고어헤드,,"583,280USD ","159,225,000원", 
케이엔여신,,"583,280USD ","101,880,000원", 
녹두장수,,"3,084,278USD ","121,078,000원", 
고스트빌리지,,"2,232,830USD ",,"181,816USD "
큐피드베이브,,"674,405USD ",,0
레전드데이,,"748,000USD ",, 
오클랜드삭스,,"952,600AUD ",, 
대마불사,,"769,964USD ",,"1,151,850USD "
논스톱리워드,,"972,632USD ",,"181,906USD "
로열함성,,"2,857,049USD ",, 
환한미소,,"3,044,000USD ",,"17,460USD "
선오브스톰,,"583,280USD ",,"176,880USD "
천해강자,,"1,810,805USD ","126,511,000원", 
라온다이아,,"1,236,820USD ",,"22,590,000JPY "
회두령,,"669,260USD ",,400USD 
흑룡가무,,"1,037,810USD ",,"26,460USD "
신의아들,,"1,732,000USD ",,"120,585USD "
에너자이저,,"583,280USD ","518,306,000원", 
에피파니,,"389,141USD ",,"5,000USD "
위캔두잇,,"1,810,805USD ",,"103,052USD "
걸작맨,,"1,779,012USD ",,0
