,자식마명,부마원,부마달러,모마원,모마달러
260,['러빙댄서'],,"1,236,820USD ",,"28,015USD "
261,['럭키위크'],,"1,083,533USD ","162,170,000원", 
262,['에이스천하'],,"172,705,000JPY ","67,190,000원", 
263,['야호뷰티풀캣'],,"1,083,533USD ","229,295,000원", 
264,['그린사이'],,"274,382USD ",,0 
265,['인기열매'],,"3,647,000USD ",,"3,320USD "
266,['파워뮤직'],,"1,607,774USD ",,"127,695USD "
267,['로럴케이'],,"1,177,394USD ",,0 
268,['문학번개'],,"1,994,460USD ",,"95,060USD "
269,['매직플랜'],,"190,838USD ",,"55,542USD "
270,['올드블레이드'],,"583,280USD ",,"17,700USD "
271,['킬라타스'],,"114,300USD ",,0 
272,['럭키불패'],,"274,382USD ",,0 
273,['역전의킹'],,"3,000USD ","26,366,000원", 
274,['킹에이스'],,"416,475,000JPY ","29,446,000원", 
275,['위너케이'],"728,298,000원", ,"96,320,000원", 
276,['로열엘비스'],,"1,606,000USD ",,"41,637USD "
277,['오케이짱'],,"1,570,380USD ","2,600,000원", 
278,['청수라이더'],,"612,935USD ","43,400,000원", 
279,['금아로버스트'],,"1,503,825USD ","65,000,000원", 
280,['시베리아'],,"493,755USD ","50,583,000원", 
281,['버닝포인트'],"1,861,967,000원", ,"24,493,000원", 
282,['백두와한라'],,"583,280USD ",,"61,640USD "
283,['워리어선더'],,"114,300USD ",,0 
284,['새남의별'],,"1,810,805USD ","13,617,000원", 
285,['오버어치브'],,"210,553USD ","21,150,000원", 
286,['스트리트강자'],"728,298,000원", ,"53,200,000원", 
287,['바비블레이드'],,"1,857,000USD ",,220USD 
288,['피엔에스니드'],,"210,553USD ","21,156,000원","16,030USD "
289,['초원의기적'],,"3,084,278USD ","520,022,000원", 
290,['세명강자'],,"1,503,825USD ",,"80,662USD "
291,['새내아이린'],,"1,031,596USD ",,"101,942USD "
292,['내길의축복'],,"339,984USD ","140,176,000원", 
293,['초동럭키'],,"770,496USD ",,"62,426USD "
294,['선더윈드'],,"114,300USD ","75,240,000원", 
295,['와일드코리아'],,"32,400USD ",, 
296,['티케파이어'],"1,087,822,000원", ,,"1,100USD "
297,['파란왕자'],,"612,935USD ",,0 
298,['장나들이'],,"494,895,000JPY ",,"29,241USD "
299,['오칼라매직제제이'],,"25,341USD ",,0 
300,['파인하트'],,"163,133USD ",,620USD 
301,['그린챔프'],,"1,083,533USD ",,"54,385USD "
302,['베스트투어'],,"3,000USD ","112,060,000원", 
303,['퀸라이언'],,"172,705,000JPY ",,"22,220,000JPY "
304,['금당나래'],,"1,503,825USD ",,0 
305,['피엔에스굿'],"233,137,000원", ,"51,400,000원", 
